SP_CODE,GENUS_CODE,TAXONNAME,SUSCP_SCORE
AGEM,ACSP,Acropora gemmifera,5
MDIL,MOSP,Montipora dilatata,5
PDAM,POCS,Pocillopora damicornis,5
PDUE,PAVS,Pavona duerdeni,5
PODU,POSP,Porites duerdeni,5
MCAP,MOSP,Montipora capitata,4
MFLA,MOSP,Montipora flabellata,4
MINC,MOSP,Montipora incrassata,4
PMAL,PAVS,Pavona maldivensis,4
PMEA,POCS,Pocillopora meandrina,4
MOSP,MOSP,Montipora sp,3
PGRA,POCS,Pocillopora grandis,3
PLIC,POSP,Porites lichen,3
PLUT,POSP,Porites lutea,3
PMON,POSP,Porites monticulosa,3
LTRA,LEPT,Leptastrea transversa,2
MPAT,MOSP,Montipora patula,2
PBRI,POSP,Porites brighami,2
PCOM,POSP,Porites compressa,2
PLOB,POSP,Porites lobata,2
POSP,POSP,Porites sp,2
PVAR,PAVS,Pavona varians,2
CVAU,CYSP,Cycloseris vaughani,1
FSCU,FUSP,Fungia scutaria,1
LEPT,LEPT,Leptastrea sp,1
LINC,LESP,Leptoseris incrustans,1
LPUR,LEPT,Leptastrea purpurea,1
PNIE,PSSP,Psammocora nierstraszi,1
PRUS,POSP,Porites rus,1
